row_num,province_0,province_1,province_2,province_3,province_4,province_5
0,33.399790011618926,19.02185878881624,42.46351667523045,54.977186468411354,25.526414098159023,38.41293076538257
1,32.15461235251508,14.381353308748544,41.66204244210756,52.82614475156717,28.238564576327487,38.1373758297194
2,32.23065008254466,19.994268571972864,44.702499817239,46.90824789693743,29.082101757062357,37.980067245165046
3,32.47084339207212,15.006177011986114,41.897838867668256,53.376349930449436,27.079607323576976,36.7108483516006
4,33.439501222530424,15.30458038766794,39.28204313765258,52.01284727477072,29.352763425265124,38.61267456907076
5,35.03151265294042,17.377875582356815,40.53767972579713,51.300252032239555,26.226764163365797,36.262691051347474
6,34.424072537003255,16.172568192579824,43.32945916565084,57.07257044845416,20.703094250084334,39.62640567417657
7,30.22003269425324,11.636941163869942,48.49552856684193,52.54782896397994,29.285690985976117,40.01378881233843
8,31.859502639960105,20.348492348960438,44.54293714832172,48.328373327992374,26.190278811776235,36.12171698014358
9,34.03266252969664,17.23279594566652,36.81436479294636,49.4397639053103,29.723668232814894,45.589184232761966
10,31.694840460884365,14.509465052153315,38.71132736563531,51.47946802606381,22.87846953189365,37.28463966396305
11,34.004417241761175,14.655617517526167,43.229451642134485,47.93511976244632,21.56735074661375,44.79928571388316
12,30.69256960665095,18.025487129739957,43.62750302634242,50.986202095171905,33.610130558969445,35.31486973137609
13,32.885109159216285,17.1269016021851,44.696307545572516,50.64163863042355,24.38640760515061,37.22609745265226
14,32.22577958842779,14.016851534941441,38.27804065362721,50.45160827430679,32.6740456710576,41.17140812350659
15,31.685917155078837,18.203169082777343,48.981174351111946,54.40607316497499,28.766709771041484,35.418983772200484
16,30.641197058936005,17.939230658296896,38.397147840723036,50.40575220085241,30.464770659926256,41.996444532399416
17,34.40411332286715,14.60892523278605,41.20852120454201,48.10502360415354,30.042783666700323,38.92625202472614
18,31.066533531700607,17.655581607090397,36.50877064891344,49.70961933533991,27.16593610907093,39.29146852888718
19,29.297450232814764,20.32567727341374,43.645466839894254,48.31795079676053,32.67824220742644,37.51204525330675
20,32.26743422761501,18.2065274793027,45.3545490832015,57.67435135438299,30.129144972669977,39.58537006378473
21,32.04513703103794,16.162688906547622,39.83302747819012,62.467680682637486,30.284252604652956,37.75279621493547
22,30.990015070606187,19.983185850798932,46.910435239335015,51.8864816609527,28.194503237652057,43.52632247801916
23,34.124480845596004,18.62124181107747,42.48873738737934,46.20862860362032,26.86039324802993,40.317531396740044
24,31.73040357579299,14.652985190564422,38.444852034485194,47.4981115587324,31.58331161994202,38.193494626634205
25,31.233745553053836,17.55156376890957,45.79228188823064,52.39555326758261,32.89525716430635,38.33732788088748
26,31.78013112807349,16.998658994207233,40.963077172038595,49.575336449428164,25.50729350235214,38.61757951109885
27,32.76903248964804,16.13096899338111,38.98667840833229,55.68359105845465,28.158577259780934,39.30889593885902
28,32.768903776614025,19.25972638731081,41.63073290511154,53.52150422813099,25.61158626683745,38.461288861265025
29,32.661202855608714,16.612957243935142,39.41522754248779,54.28135467549255,31.103330938554656,38.79542666952429
30,35.3869176853332,17.45720976349171,39.347505741015276,44.631086279415015,31.81561808736501,37.97321624414725
31,31.338229958764675,18.679338878167982,42.9112471535601,58.692248988162596,35.21723041591699,40.50012794695683
32,31.86847492997842,16.440644766026175,45.295369371960405,51.80281452525407,22.33640464561647,38.04859136575194
33,31.935883327809947,17.666063676760935,35.56546005204743,51.89437615056345,30.762770876047227,37.95491547172793
34,33.893807501014706,20.08994415620017,38.46303597055676,54.58789546005483,29.819613142847846,34.5087325980607
35,32.849082402329174,16.32015553975664,37.582948883658865,45.10016791045689,24.97468047591884,42.653184364486435
36,31.964245286473762,16.565240508280034,39.15646014049512,45.58275180575824,31.379184430620764,42.027228732351425
37,31.747821625941732,17.102899625575706,43.88277632695832,49.12906697240197,30.591089374560074,41.42793108130627
38,31.43351586687798,19.14871831070189,41.96498126326326,51.76285420395773,30.584042902236742,37.60660691788243
39,34.23451237004121,18.221802006225424,46.14111776608314,43.28908602271095,28.982231605718763,41.1715147745869
40,29.86786179294682,16.683761282002134,41.23066412611728,52.99901964746392,27.852929664453846,39.00023812606524
41,32.05718249038897,15.265052375722783,40.904651065126885,52.544748558958204,31.925014004651217,38.32953906275651
42,32.219805466767866,17.748525143673305,42.78417019870075,47.715791751691015,22.122695736138336,41.311822554203324
43,29.943583087264773,15.760405404551285,48.460611076530896,54.952677379640356,28.64306452191972,40.24077687141834
44,30.225113087539967,16.98603839360284,39.922853897158134,46.64865054823935,26.66977641252368,40.28253736043834
45,31.96574916788888,17.632137720688803,39.76383245137278,50.46716888093025,24.204553177518164,38.47943785983381
46,32.92164010179818,14.892466974624933,50.20124113815761,49.85021824849092,28.15196669337019,41.801260489425815
47,34.34534164894671,16.22384154204008,41.38445241941903,47.759831205557745,28.59168619921684,35.074082707008515
48,31.987391994935415,15.829312288692066,41.58931850462099,53.439896642303154,30.955505347041658,37.87958006398617
49,31.453534985069503,14.34079150027444,41.124829320937394,52.903180927922826,28.032522700370464,43.2725099633261
50,30.560661498615325,18.591096764309356,42.090278798479936,50.7847956855229,25.377744561475865,39.06248982782739
51,32.247258950583124,19.66466109512312,42.5965507288965,50.65816551842003,22.320884792551112,38.84828239803471
52,32.68427655670691,17.97007324345983,34.081915910587455,48.24619923263273,27.77574483177083,40.33106536518871
53,33.73530634093442,17.727584246617848,44.28176217693549,48.697942491613865,29.487241448253595,43.572898727653524
54,31.330132970543097,16.863079868768235,42.59162401183383,48.53042704157761,26.311989531281526,40.756897521292096
55,33.61062576269088,13.532608209283055,44.012299183968686,51.58673403084459,34.85615288167215,41.795896513879384
56,31.17441818627706,13.763309691125965,43.89931008772844,54.07138647004511,29.644969935492554,43.1293518819735
57,34.61175794458441,17.785068770761047,37.22664352560859,49.75486286728365,33.03754575041039,41.04142957019272
58,32.31983538037065,16.558200018553713,40.21052429815513,46.98608632609459,34.64048229204205,36.41369010068999
59,34.17231297694092,17.213053836643006,39.84512480380388,51.714747535052624,27.840215956029265,36.03567610448448
60,33.71419664495386,16.95252414319722,43.339981877494566,51.31169749511803,30.271806934902397,38.45622758816653
61,31.736403641800614,17.948029545879756,40.7301785325958,54.14087771369924,24.022131107931354,37.585986724677134
62,33.24384018564224,14.54632580131614,36.48449484168846,49.19157274194571,25.893802091045092,39.911896059320725
